title,year_released,rating,category
X-Men: Ημέρες ενός ξεχασμένου μέλλοντος,2014,7.9,"Action, Adventure, Sci-Fi"
Στα όρια του αύριο,2014,7.9,"Action, Adventure, Sci-Fi"
District 9,2009,7.9,"Action, Sci-Fi, Thriller"
Star Trek,2009,7.9,"Action, Adventure, Sci-Fi"
Γράμματα από το Ίβο Τζίμα,2006,7.9,"Action, Adventure, Drama"
Ο Ατσαλένιος Άνθρωπος,2008,7.9,"Action, Adventure, Sci-Fi"
Ήρωας,2002,7.9,"Action, Adventure, History"
Cowboy Bebop: Tengoku no tobira,2001,7.9,"Animation, Action, Crime"
Χωρίς ταυτότητα,2002,7.9,"Action, Mystery, Thriller"
Τα παιδιά των ανθρώπων,2006,7.9,"Action, Sci-Fi, Thriller"
Knockin' on Heaven's Door,1997,7.9,"Action, Crime, Comedy"
Jûbê ninpûchô,1993,7.9,"Animation, Action, Adventure"
Οι ατσίδες με τα μπλε,1980,7.9,"Action, Adventure, Comedy"
"Αγκίρε, η μάστιγα του Θεού",1972,7.9,"Action, Adventure, Biography"
Η άγρια συμμορία,1969,7.9,"Action, Adventure, Western"
The Adventures of Robin Hood,1938,7.9,"Action, Adventure, Romance"
Εγκληματίες Πρώτης Τάξεως,2019,7.8,"Action, Comedy, Crime"
Raazi,2018,7.8,"Action, Drama, Thriller"
Δουνκέρκη,2017,7.8,"Action, Drama, History"
Udta Punjab,2016,7.8,"Action, Crime, Drama"
Ο Κούμπο και οι δύο χορδές,2016,7.8,"Animation, Action, Adventure"
Rogue One,2016,7.8,"Action, Adventure, Sci-Fi"
Captain America: Εμφύλιος πόλεμος,2016,7.8,"Action, Adventure, Sci-Fi"
Star Wars: Η δύναμη ξυπνάει,2015,7.8,"Action, Adventure, Sci-Fi"
Οι Υπερέξι,2014,7.8,"Animation, Action, Adventure"
Πώς να εκπαιδεύσετε τον δράκο σας 2,2014,7.8,"Animation, Action, Adventure"
Αντίκρισα το διάβολο,2010,7.8,"Action, Crime, Drama"
Ajeossi,2010,7.8,"Action, Crime, Drama"
Ο Κυνηγός,2008,7.8,"Action, Crime, Thriller"
Η αρπαγή,2008,7.8,"Action, Crime, Thriller"
Avatar,2009,7.8,"Action, Adventure, Fantasy"
Apocalypto,2006,7.8,"Action, Adventure, Drama"
Καυτοί και Άσφαιροι,2007,7.8,"Action, Comedy, Mystery"
Serenity,2005,7.8,"Action, Adventure, Sci-Fi"
Gongdong gyeongbi guyeok JSA,2000,7.8,"Action, Drama, Thriller"
Τίγρης και δράκος,2000,7.8,"Action, Adventure, Fantasy"
Σύγκρουση στον πράσινο βάλτο,1993,7.8,"Action, Biography, Drama"
Ο φυγάς,1993,7.8,"Action, Crime, Drama"
Μπάτμαν: Η Μάσκα του Φαντάσματος,1993,7.8,"Animation, Action, Crime"
Lat sau san taam,1992,7.8,"Action, Crime, Thriller"
The Killer,1989,7.8,"Action, Crime, Drama"
Ο Κυνηγός,1987,7.8,"Action, Adventure, Sci-Fi"
Γκόστμπαστερς,1984,7.8,"Action, Comedy, Fantasy"
Badlands,1973,7.8,"Action, Crime, Drama"
Μπόννι και Κλάυντ,1967,7.8,"Action, Biography, Crime"
Η πιο μεγάλη μέρα του πολέμου,1962,7.8,"Action, Drama, History"
Το κόκκινο ποτάμι,1948,7.8,"Action, Adventure, Drama"
Στη βοή της καταιγίδας,1948,7.8,"Action, Crime, Drama"
Σκάρφεϊς,1932,7.8,"Action, Crime, Drama"
Deadpool 2,2018,7.7,"Action, Adventure, Comedy"
Επικίνδυνη Αποστολή: Η Πτώση,2018,7.7,"Action, Adventure, Thriller"
Kingsman: Η μυστική υπηρεσία,2014,7.7,"Action, Adventure, Comedy"
Captain America 2: O στρατιώτης του χειμώνα,2014,7.7,"Action, Adventure, Sci-Fi"
Η ταινία Lego,2014,7.7,"Animation, Action, Adventure"
Star Trek Into Darkness,2013,7.7,"Action, Adventure, Sci-Fi"
X-Men: Η πρώτη γενιά,2011,7.7,"Action, Adventure, Sci-Fi"
Skyfall,2012,7.7,"Action, Adventure, Thriller"
Το τελευταίο τρένο για τη Γιούμα,2007,7.7,"Action, Crime, Drama"
Κουνγκ Φου... Ζιο,2004,7.7,"Action, Comedy, Fantasy"
Στη σκιά των κατασκόπων,2004,7.7,"Action, Mystery, Thriller"
Δια πυρός και σιδήρου,2004,7.7,"Action, Crime, Drama"
Ο τελευταίος σαμουράι,2003,7.7,"Action, Drama"
Ο κόμης Μόντε Κρίστο,2002,7.7,"Action, Adventure, Drama"
Vampire Hunter D: Bloodlust,2000,7.7,"Animation, Action, Fantasy"
Εξολοθρευτές Άγιοι,1999,7.7,"Action, Crime, Thriller"
Το πέμπτο στοιχείο,1997,7.7,"Action, Adventure, Sci-Fi"
Ο τελευταίος των Μοϊκανών,1992,7.7,"Action, Adventure, Drama"
Η αυτοκρατορία του Ήλιου,1987,7.7,"Action, Drama, History"
Σταρ Τρεκ Νο 2: Η οργή του Καν,1982,7.7,"Action, Adventure, Sci-Fi"
Ράμπο: Το πρώτο αίμα,1982,7.7,"Action, Adventure"
Πανικός στο Μετρό της Νέας Υόρκης,1974,7.7,"Action, Crime, Thriller"
Ο κίτρινος πράκτωρ του Χονγκ Κονγκ,1973,7.7,"Action, Crime, Drama"
Ο άνθρωπος από τη Γαλλία,1971,7.7,"Action, Crime, Drama"
Ο Επιθεωρητής Κάλαχαν,1971,7.7,"Action, Crime, Thriller"
Και οι 12 ήταν καθάρματα,1967,7.7,"Action, Adventure, War"
"Τζέημς Μποντ, πράκτωρ 007: Εναντίων Χρυσοδάκτυλου",1964,7.7,"Action, Adventure, Thriller"
Και οι 7 ήταν υπέροχοι,1960,7.7,"Action, Adventure, Western"
Το Εξπρές των Ζωντανών Νεκρών,2016,7.6,"Action, Horror, Thriller"
Φύλακες του Γαλαξία 2,2017,7.6,"Action, Adventure, Comedy"
Baby Driver,2017,7.6,"Action, Crime, Drama"
Ριψοκίνδυνοι άνδρες,2017,7.6,"Action, Biography, Drama"
Οι Απίθανοι 2,2018,7.6,"Animation, Action, Adventure"
Sicario: Ο εκτελεστής,2015,7.6,"Action, Crime, Drama"
Πάση θυσία,2016,7.6,"Action, Crime, Drama"
Επιχείρηση: Χάος,2011,7.6,"Action, Thriller"
Περιπολία,2012,7.6,"Action, Adventure, Crime"
Κελί 211,2009,7.6,"Action, Adventure, Crime"
Σέρλοκ Χολμς,2009,7.6,"Action, Adventure, Mystery"
Eastern Promises,2007,7.6,"Action, Crime, Drama"
Ο Χάρι Πότερ και ο ημίαιμος πρίγκιψ,2009,7.6,"Action, Adventure, Family"
300,2006,7.6,"Action, Drama"
Watchmen,2009,7.6,"Action, Drama, Mystery"
Battle Royale,2000,7.6,"Action, Adventure, Drama"
Minority Report,2002,7.6,"Action, Crime, Mystery"
Πολύ σκληρός για να πεθάνει: Η εκδίκηση,1995,7.6,"Action, Adventure, Thriller"
Φονικό όπλο,1987,7.6,"Action, Crime, Thriller"
Μαντ Μαξ 2: Εκδικητής πέρα απ' το νόμο,1981,7.6,"Action, Adventure, Sci-Fi"
Οι μαχητές,1979,7.6,"Action, Crime, Thriller"
Λουπέν ο 3ος: Το Κάστρο του Καλιόστρο,1979,7.6,"Animation, Action, Adventure"
Απόδραση από το Αλκατράζ,1979,7.6,"Action, Biography, Crime"
Όπου τολμούν οι αετοί,1968,7.6,"Action, Adventure, War"
