title,year_released,rating,category
Απολαύστε το Κορμί μου,1962,7.8,"Drama, Romance"
Ο ήσυχος άνθρωπος,1952,7.8,"Comedy, Drama, Romance"
Η βασίλισσα της Αφρικής,1951,7.8,"Adventure, Drama, Romance"
Του Θεού η χώρα,2017,7.7,"Drama, Romance"
Ο κύριος Όβε,2015,7.7,"Comedy, Drama, Romance"
Η Θεωρία των Πάντων,2014,7.7,"Biography, Drama, Romance"
Το λάθος αστέρι,2014,7.7,"Drama, Romance"
Η ζωή της Αντέλ,2013,7.7,"Drama, Romance"
Ραγισμένα όνειρα,2012,7.7,"Drama, Music, Romance"
Rockstar,2011,7.7,"Drama, Music, Romance"
Μεσάνυχτα στο Παρίσι,2011,7.7,"Comedy, Fantasy, Romance"
Οδηγός αισιοδοξίας,2012,7.7,"Comedy, Drama, Romance"
(500) μέρες με τη Σάμερ,2009,7.7,"Comedy, Drama, Romance"
Πρώτη Αγάπη,2010,7.7,"Comedy, Drama, Romance"
Το Μυστικό του Brokeback Mountain,2005,7.7,"Drama, Romance"
Αντίο Λένιν,2003,7.7,"Comedy, Drama, Romance"
Ο αρχάριος,1998,7.7,"Comedy, Drama, Romance"
Καλύτερα δε γίνεται,1997,7.7,"Comedy, Drama, Romance"
Ευτυχισμένοι μαζί,1997,7.7,"Drama, Romance"
Λογική και ευαισθησία,1995,7.7,"Drama, Romance"
Το πορφυρό ρόδο του Καΐρου,1985,7.7,"Comedy, Fantasy, Romance"
Η Ωραία της Ημέρας,1967,7.7,"Drama, Romance"
"Γλυκιά μου, Σαμπρίνα",1954,7.7,"Comedy, Drama, Romance"
Victoria,2015,7.6,"Crime, Drama, Romance"
Ένα αστέρι γεννιέται,2018,7.6,"Drama, Music, Romance"
"Ίσως, αύριο",2010,7.6,"Drama, Romance"
50/50,2011,7.6,"Comedy, Drama, Romance"
Match Point,2005,7.6,"Drama, Romance, Thriller"
Οι Ατελείωτοι Αρραβώνες,2004,7.6,"Drama, Mystery, Romance"
Οι γέφυρες του Μάντισον,1995,7.6,"Drama, Romance"
Τρία χρώματα: Η λευκή ταινία,1994,7.6,"Comedy, Drama, Romance"
Ταξιδιώτες στο Παρελθόν,1991,7.6,"Animation, Drama, Romance"
Όταν ο Χάρυ γνώρισε τη Σάλυ,1989,7.6,"Comedy, Drama, Romance"
Πρόγευμα στο Τίφανις,1961,7.6,"Comedy, Drama, Romance"
Όσο υπάρχουν άνθρωποι,1953,7.6,"Drama, Romance, War"
Γκίλντα,1946,7.6,"Drama, Film-Noir, Romance"
