title,year_released,rating,category
Captain Fantastic,2016,7.9,"Comedy, Drama"
Sing Street,2016,7.9,"Comedy, Drama, Music"
Thor: Ragnarok,2017,7.9,"Action, Adventure, Comedy"
Τζότζο,2019,7.9,"Comedy, Drama, War"
The Artist,2011,7.9,"Comedy, Drama, Romance"
Jab We Met,2007,7.9,"Comedy, Drama, Romance"
Αποστολή στην Μπριζ,2008,7.9,"Comedy, Crime, Drama"
Ο απίθανος κύριος Φοξ,2009,7.9,"Animation, Adventure, Comedy"
C.R.A.Z.Y.,2005,7.9,"Comedy, Drama"
Τα Παιδιά της Χορωδίας,2004,7.9,"Comedy, Drama, Music"
Το ξύσιμο των νεκρών,2004,7.9,"Comedy, Horror"
Kal Ho Naa Ho,2003,7.9,"Comedy, Drama, Musical"
No Man's Land,2001,7.9,"Comedy, Drama, War"
Σχεδόν διάσημοι,2000,7.9,"Adventure, Comedy, Drama"
Σρεκ,2001,7.9,"Animation, Adventure, Comedy"
Η ιστορία των παιχνιδιών 2,1999,7.9,"Animation, Adventure, Comedy"
Knockin' on Heaven's Door,1997,7.9,"Action, Crime, Comedy"
Απιστίες και αμαρτίες,1989,7.9,"Comedy, Drama"
Η Χάνα και οι αδελφές της,1986,7.9,"Comedy, Drama"
This Is Spinal Tap,1984,7.9,"Comedy, Music"
Μια Χριστουγεννιάτικη Ιστορία,1983,7.9,"Comedy, Family"
Οι ατσίδες με τα μπλε,1980,7.9,"Action, Adventure, Comedy"
Μανχάταν,1979,7.9,"Comedy, Drama, Romance"
Θυμάμαι,1973,7.9,"Comedy, Drama"
Η κρυφή γοητεία της μπουρζουαζίας,1972,7.9,Comedy
Harold and Maude,1971,7.9,"Comedy, Drama, Romance"
Ραντεβού στο Παρίσι,1963,7.9,"Comedy, Mystery, Romance"
Χάρβεϊ,1950,7.9,"Comedy, Drama, Fantasy"
Το Θαύμα της 34ης Οδού,1947,7.9,"Comedy, Drama, Family"
Κοινωνικά σκάνδαλα,1940,7.9,"Comedy, Romance"
